trip_path_detail
"[[u'Ethel M Chocolate Factory', u'Town Square', u'Hoover Dam'], [u'Red Rock Canyon National Conservation Area', u'Adventuredome', u'The Roller Coaster'], [u'Santa Monica Beach', u'Bergamot Station', u'Cleo'], [u'Santa Monica Pier', u'Hollywood Bowl'], [u'San Francisco Cable Car Museum', u'Alcatraz Island', u'Muir Woods National Monument'], [u'Golden Gate Bridge', u'Fishermans Wharf', u'Ferry Building'], [u'St. Louis Cathedral', u'The Sydney And Waldabesthoff Sculpture Garden', u'Jackson Square', u'Voodoo Spiritual Temple', u'Lake Pontchartrain'], [u'Woldenberg Riverfront Park', u'Mercedes Benz Superdome', u'Mardi Gras World Or Festival', u'New Orleans Museum Of Art', u'Audubon Aquarium Of The Americas'], [u'Glacier Point', u'Tunnel View', u'Ansel Adams Gallery', u'Bridalveil Fall', u'Yosemite Falls'], [u'Mariposa Grove Of Giant Sequoias', u'Sentinel Dome', u'Half Dome'], [u'Hanauma Bay Nature Preserve', u'Manoa Falls', u'Iolani Palace'], [u'Dole Plantation', u'Ala Moana Beach Park', u'Hale Koa Luau', u'Spitting Cave'], [u'Dallas Zoo', u'The Dallas World Aquarium', u'Sixth Floor Museum, Dealey Plaza', u'Klyde Warren Park', u'George W. Bush Presidential Library And Museum'], [u'Meadows Museum Of Art', u'Dallas Arboretum And Botanical Gardens', u'Dallas Museum Of Art', u'John F. Kennedy Memorial', u'N Park Center'], [u'Graceland', u'The Fire Museum Of Memphis', u'Orpheum Theater'], [u'Elmwood Cemetery', u'Beale Street'], [u'Statue Of Liberty', u'Fifth Avenue', u'Grand Central Terminal', u'New York Hilton Midtown', u'LaGuardia Airport'], [u'National 9-11 Memorial Museum', u'Times Square', u'Ground Zero', u'Redeemer Presbyterian Church', u'Circle Line Cruise'], [u'White House', u'United States Capitol', u'Washington National Cathedral', u'Washington Monument', u'Lincoln Memorial'], [u'Library Of Congress', u'Fords Theatre', u'National Gallery Of Art', u'International Spy Museum', u'Iwo Jima Memorial']]"
"[[u'Exploratorium', u'Alamo Square', u'Aquarium Of The Bay', u'At And T Park', u'The Walt Disney Family Museum'], [u'Lombard Street', u'Cable Car Museum', u'Union Square', u'3800 Washington St'], [u'26 Mile Bike Path', u'Santa Monica Pier', u'The J Paul Getty Centre'], [u'Santa Monica Beach', u'Griffith Park', u'The Griffith Observatory'], [u'Chapel Of The Flowers', u'Las Vegas Premium Outlets North', u'Madame Tussauds Las Vegas', u'Fountains Of Bellagio'], [u'Las Vegas South Premium Outlets', u'Eiffel Tower Experience'], [u'South Mountain Park', u'Wrigley Mansion'], [u'Burton Barr Central Library', u'Phoenix Zoo'], [u'Explora Science Center And Children\\s Museum Of Albuquerque', u'Old Town Albuquerque', u'Sandia Peak Tramway'], [u'Indian Pueblo Cultural Center', u'Rattle Snake Museum', u'Albuquerque Bio Park'], [u'Dallas Arboretum And Botanical Gardens', u'Dallas Zoo', u'Dallas Museum Of Art', u'Sixth Floor Museum, Dealey Plaza', u'George W. Bush Presidential Library And Museum'], [u'Pioneer Plaza', u'The Dallas World Aquarium', u'Reunion Tower', u'Klyde Warren Park', u'Dealey Plaza, Grassy Knoll, National Historic Landmark District'], [u'French Quarter', u'Voodoo Spiritual Temple', u'Willie Maes Scotch House', u'Lafittes Blacksmith Shop Bar', u'Sucr\xe9'], [u'St. Louis Cathedral', u'Mercedes Benz Superdome', u'Jackson Square', u'Croissant Dor Patisserie', u'Frenchmen Art Market'], [u'Piedmont Park', u'Martin Luther King Jr. National Historic Site'], [u'Atlanta History Center', u'Georgia Aquarium'], [u'White House', u'Lincoln Memorial', u'National Air And Space Museum', u'Washington Monument'], [u'United States Capitol', u'National Museum Of Natural History', u'Washington National Cathedral'], [u'Fifth Avenue', u'Serendipity 3', u'Dylans Candy Bar', u'Rockefeller Center', u'Broadway Street'], [u'Central Park', u'New York Hilton Midtown', u'Bloomingdales', u'Bloomingdales']]"
"[[u'Santa Monica Beach', u'Viper Room', u'Santa Monica Mountains', u'The J Paul Getty Centre', u'Cleo'], [u'26 Mile Bike Path', u'Angel Stadium Of Anaheim', u'California Science Center', u'The Grammy Museum', u'Honda Centre'], [u'Mission Beach', u'San Diego Zoo', u'Seaworld San Diego', u'Balboa Park'], [u'Birch Aquarium At Scripps', u'Maritime Museum Of San Diego', u'Old Point Loma Lighthouse And Cabrillo National Monument', u'Gaslamp Quarter'], [u'Legoland', u'Disneyland Park'], [u'Fort Rosecrans Cemetery', u'Uss Midway Museum', u'Museum Of Contemporary Art San Diego', u'Coronado Island'], [u'The New Childrens Museum', u'Torrey Pines State Natural Reserve', u'Heritage Park Victorian Village', u'Reuben H Fleet Science Center'], [u'Mission Basilica San Diego De Alcala', u'Torrey Pines Golf Course', u'Old Towns Fashion Valley Shopping Center', u'Old Globe Theatre', u'Hotel Del Coronado'], [u'Golden Gate Bridge', u'Cathedral Basilica Of St. Joseph', u'The Tech Museum Of Innovation'], [u'San Francisco Cable Car Museum', u'San Jose Museum Of Art', u'Muir Woods National Monument', u'Alcatraz Island'], [u'Lombard Street', u'Raging Waters', u'Coit Tower'], [u'Transamerica Pyramid', u'Ferry Building', u'Golden Gate Park'], [u'Ethel M Chocolate Factory', u'Eiffel Tower Experience', u'Red Rock Canyon National Conservation Area'], [u'Chapel Of The Flowers', u'Hoover Dam', u'Adventuredome'], [u'Lincoln Park Zoo', u'Millennium Park'], [u'Cloud Gate', u'The Art Institute Of Chicago'], [u'Field Museum Of Natural History', u'Buckingham Fountain'], [u'Museum Of Science And Industry', u'Navy Pier'], [u'Wrigley Field', u'John Hancock Center', u'Shedd Aquarium'], [u'Holy Name Cathedral', u'Marina City']]"
"[[u'Statue Of Liberty', u'National 9-11 Memorial Museum', u'The Metropolitan Museum Of Art', u'The High Line', u'Broadway and W 44th St'], [u'Grand Central Terminal', u'154 Columbus Ave', u'Brooklyn Industries', u'American Museum Of Natural History', u'Ground Zero'], [u'Ellis Island', u'Museum Of Modern Art', u'Fanaberie', u'Bridge Gallery'], [u'Empire State Building', u'Solomon R Guggenheim Museum', u'Bronx Zoo'], [u'Magnificent Mile', u'Buckingham Fountain'], [u'Wrigley Building', u'Navy Pier'], [u'Oak Street Beach', u'Wrigley Field', u'Millennium Park'], [u'Cloud Gate', u'Chinatown'], [u'Seattle Ferry', u'Woodland Park Zoo', u'Seattle Aquarium', u'Space Needle'], [u'Pike Place Market', u'Discovery Park', u'Seattle Great Wheel', u'Seattle Waterfall Garden', u'Green Lake Park'], [u'Alki Beach And Alki Beach Park', u'The Seattle Waterfront Or Central Waterfront', u'Saint James Cathedral', u'Argosy Cruises', u'Cowgirls'], [u'Lake Union', u'Golden Gardens Park', u'Benaroya Hall', u'Century Link Field', u'Myrtle Edwards Park'], [u'Tahoe Trout Farm', u'Pope Beach', u'Vikingsholm'], [u'Thomas F Regan Memorial Park', u'Van Sickle Bi-state Park'], [u'Tallac Historic Site'], [u'Hollywood Cafe', u'Winchester Mystery House', u'Marin Headlands', u'The Walt Disney Family Museum'], [u'Cathedral Basilica Of St. Joseph', u'The Tech Museum Of Innovation', u'North Beach'], [u'San Francisco Cable Car Museum', u'555 California Street', u'California Academy Of Sciences']]"
"[[u'Legian Beach', u'Elephant Cave', u'Tanah Lot Temple'], [u'Devdan Show', u'Gunung Lebah Temple', u'Kecak Fire And Trance Dance', u'Jalan Legian', u'Kuta Square'], [u'Puri Saren Palace', u'Bali Bird Park', u'Garuda Wisnu Kencana Cultural Park'], [u'Bali Jet Set Dive And Marine Sports', u'Don Antonio Blanco Museum'], [u'Singapore Zoo', u'Asian Civilization Museum', u'Botanic Gardens'], [u'The Bird Park', u'Aquaria Klcc', u'Berjaya Times Square Theme Park'], [u'Khao Phing Kan Island Or James Bond Island', u'Phuket Fantasea'], [u'Koh Panyee', u'Rang Hill Or Khao Rang Hill', u'Patong Beach'], [u'Red Mountain Golf Club', u'Phang Nga Bay', u'Football Crazy Golf'], [u'Banyan Tree', u'Kamala Beach', u'Siam Niramit', u'Karon Beach'], [u'Wat Chet', u'Wat Phra That Doi Suthep', u'Doi Suthep-pui National Park', u'The Three Kings Monument'], [u'Damnoen Saduak Floating Market', u'Wat Pho Reclining Buddha', u'Bangkok Wat Arun', u'Siam Square 5', u'The Verandah'], [u'Camel Racing', u'Dubai Museum', u'Burj Al Arab', u'Wild Wadi Water Park'], [u'Winchester Mystery House', u'Museum Of Modern Art', u'Japan Town']]"
"[[u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Hollywood Bowl', u'Griffith Park'], [u'Aqua Surf School', u'Santa Monica Museum Of Art', u'The Griffith Observatory'], [u'Golden Gate Bridge', u'Alcatraz Island', u'San Francisco Cable Car Museum'], [u'Lombard Street', u'Golden Gate Park', u'Ferry Building'], [u'California Palace Of The Legion Of Honor', u'Muir Woods National Monument', u'Palace Of Fine Arts'], [u'Pier 39', u'The Walt Disney Family Museum', u'Musee Mecanique'], [u'Ethel M Chocolate Factory', u'Battlefield Vegas', u'Hoover Dam', u'High Roller', u'Top Of The World Ave'], [u'Red Rock Canyon National Conservation Area', u'Adventuredome', u'Neon Museum', u'Fountains Of Bellagio'], [u'Valley Of Fire State Park', u'Eiffel Tower Experience', u'The Linq Hotel and Casino'], [u'Grand Central Terminal', u'Rockefeller Center', u'Wall St', u'American Museum Of Natural History', u'Ground Zero'], [u'Central Park', u'Statue Of Liberty', u'Solomon R Guggenheim Museum'], [u'Ellis Island', u'Chrysler Building', u'Bridge Gallery'], [u'Hanauma Bay Nature Preserve', u'Waikiki Beach', u'Dole Plantation', u'National Memorial Cemetery Of The Pacific'], [u'U S S Arizona Memorial', u'Hale Koa Luau', u'Spitting Cave'], [u'Iolani Palace', u'Hanaiakamalama', u'Diamond Head', u'Kaimana Beach', u'Ala Moana Beach Park']]"
"[[u'Ruth Hardy Park', u'Desert Riviera Hotel', u'Palm Springs Aerial Tramway', u'Palm Springs Air Museum'], [u'Palm Springs Art Museum', u'Hotel California', u'Palm Canyon Drive', u'Mccallum Theatre'], [u'Chase Field', u'Phoenix Zoo'], [u'Castles N Coasters', u'Heard Museum'], [u'Bellagio Gallery Of Fine Art', u'Mon Ami Gabi', u'Pho Thanh Huong', u'Hoover Dam'], [u'Red Rock Canyon National Conservation Area', u'Battlefield Vegas', u'Vons', u'Treasure Island Hotel And Casino', u'Cirque Du Soleil'], [u'The Crystals', u'Ricks Restorations', u'Shark Reef At Mandalay Bay', u'Circus Circus'], [u'Golden Gate Bridge', u'Silicon Valley', u'San Francisco Cable Car Museum', u'The Tech Museum Of Innovation'], [u'Golden Gate Park', u'Transamerica Pyramid', u'Union Square'], [u'California Academy Of Sciences', u'Muir Woods National Monument'], [u'Mission Dolores', u'Musee Mecanique', u'Baker Beach'], [u'Monterey Bay Aquarium', u'17-mile Drive'], [u'Jacks Peak County Park', u'Monterey State Historic Park', u'Carmel Mission Basilica', u'Cannery Row', u'Monterey Museum Of Art Pacific Street'], [u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Hollywood Bowl', u'Griffith Park'], [u'Aqua Surf School', u'The Griffith Observatory', u'Santa Monica Museum Of Art']]"
"[[u'South Beach', u'Coral Castle', u'Freedom Tower'], [u'Vizcaya Musuem And Gardens', u'Dolphin Mall'], [u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Ethel M Chocolate Factory', u'Battlefield Vegas', u'Hoover Dam', u'Fountains Of Bellagio', u'Beatleshow Orchestra'], [u'Red Rock Canyon National Conservation Area', u'Eiffel Tower Experience'], [u'Japanese Tea Garden', u'California Palace Of The Legion Of Honor', u'Golden Gate Park'], [u'Golden Gate Bridge', u'Lombard Street', u'San Francisco Cable Car Museum', u'Sutro Baths Ruins'], [u'Sky View Observatory', u'Woodland Park Zoo', u'Seattle Aquarium', u'Seattle Great Wheel'], [u'Paramount Theatre', u'Seattle Waterfall Garden', u'Benaroya Hall', u'Space Needle', u'Pacific Place'], [u'Almaden Quicksilver County Park', u'Alum Rock Park', u'San Jose Heritage Rose Garden', u'California Theatre', u'Guadalupe River Park And Gardens'], [u'Los Gatos Creek Trail', u'Cinnabar Hills Golf Club', u'San Jose Museum Of Art', u'Cathedral Basilica Of St. Joseph'], [u'Gateway Arch', u'Saint Louis Art Museum', u'Jefferson National Expansion Memorial Park'], [u'Saint Louis Science Center', u'Saint Louis Zoo', u'Museum Of Westward Expansion', u'Gateway Arch Riverboats'], [u'White House', u'Lincoln Memorial', u'National Gallery Of Art', u'Washington Monument', u'National Air And Space Museum'], [u'United States Capitol', u'National Museum Of Natural History', u'Fords Theatre', u'Iwo Jima Memorial'], [u'Flagler College', u'Old City', u'St Augustine Lighthouse And Museum', u'Dow Museum Of Historic Houses', u'Whetstone Chocolate Factory'], [u'Castillo De San Marcos', u'Fort Mose', u'Castillo De San Marcos', u'St. Augustine Amphitheatre', u'Oldest Wooden Schoolhouse'], [u'Fort Harrison State Park', u'Childrens Museum Of Indianapolis', u'Indiana Museum Of Art'], [u'Lucas Oil Stadium', u'Monument Circle']]"
"[[u'Red Rock Canyon National Conservation Area', u'Ethel M Chocolate Factory', u'Eiffel Tower Experience', u'Bellagio Gallery Of Fine Art', u'Town Square', u'Fountains Of Bellagio'], [u'Hoover Dam', u'Lake Mead National Recreation Area', u'Chapel Of The Flowers', u'Stratosphere Casino, Hotel And Tower', u'Adventuredome', u'Fremont Street'], [u'Old Point Loma Lighthouse And Cabrillo National Monument', u'Seaworld San Diego', u'Mission Beach', u'San Diego Zoo', u'Balboa Park', u'Gaslamp Quarter'], [u'Los Angeles Zoo', u'Hollywood Walk Of Fame', u'Hollywood And Highland Center', u'Universal Studios', u'Beverly Hills', u'Sunset Boulevard'], [u'Disneyland', u'Hollywood Wax Museum', u'Santa Monica Pier'], [u'Golden Gate Bridge', u'Lombard Street', u'Pier 39', u'Saint Marys Cathedral', u'Alamo Square', u'Japanese Tea Garden', u'Bay Bridge'], [u'Transamerica Pyramid', u'Alcatraz Island', u'Coit Tower', u'San Francisco Cable Car Museum', u'Japan Town', u'Chinatown']]"
"[[u'Pacific Park'], [u'26 Mile Bike Path', u'Santa Monica Beach', u'Disneyland Park', u'Santa Monica Looff Hippodrome', u'Cleo'], [u'County Museum Of Art', u'The Grammy Museum', u'The Griffith Observatory'], [u'University Of California', u'Flightdeck Flight Simulation Centre', u'The Misfit Restaurant And Bar', u'Tacos Punta Cabras Restaurant'], [u'Golden Gate Bridge', u'Cathedral Basilica Of St. Joseph', u'Greek Amphitheatre'], [u'Uss Pampanito', u'Muir Woods National Monument', u'Embarcadero Center', u'Coit Tower'], [u'San Francisco Cable Car Museum', u'Ferry Building', u'Alcatraz Island'], [u'Lombard Street', u'At And T Park', u'The Walt Disney Family Museum'], [u'Pier 39', u'Lands End', u'Crissy Field'], [u'California Palace Of The Legion Of Honor', u'Golden Gate Park', u'Fishermans Wharf'], [u'Twin Peaks', u'Baker Beach', u'Marin Headlands', u'De Young Museum'], [u'Grace Cathedral', u'Union Square', u'Musee Mecanique', u'Guadalupe River Park And Gardens'], [u'Central Park', u'Grand Central Terminal', u'American Museum Of Natural History'], [u'National 9-11 Memorial Museum', u'Empire State Building', u'Rockefeller Center', u'The Metropolitan Museum Of Art'], [u'Eataly', u'Fanaberie', u'Brooklyn Museum'], [u'Ellis Island', u'Brooklyn Bridge', u'New-York Historical Society', u'Times Square']]"
